
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
3C:A7:AE:5B:AA:CA, 2025-09-15 22:56:35, 2025-09-15 22:58:10,  5, 360, WPA2, CCMP TKIP, PSK, -41,      190,        6,   0.  0.  0.  0,   3, 102, 
44:13:D0:9F:A8:ED, 2025-09-15 22:56:35, 2025-09-15 22:58:10,  4, 130, WPA2, CCMP, PSK, -51,      219,      213,   0.  0.  0.  0,   8, Federico, 
78:90:A2:31:BC:6A, 2025-09-15 22:56:35, 2025-09-15 22:58:02,  4, 360, WPA2, CCMP TKIP, PSK, -79,       41,        0,   0.  0.  0.  0,   7, Claudia, 
C0:51:5C:0A:9B:12, 2025-09-15 22:56:35, 2025-09-15 22:58:10,  5, 360, WPA2, CCMP, PSK, -45,      259,        0,   0.  0.  0.  0,   8, Apto 103, 
A0:09:2E:AA:82:0A, 2025-09-15 22:56:35, 2025-09-15 22:58:01,  4, 360, WPA2, CCMP, PSK, -80,       17,        0,   0.  0.  0.  0,  17, Antelf42sb-2.4GHz, 
80:AF:CA:3F:DA:CC, 2025-09-15 22:56:35, 2025-09-15 22:58:10,  3, 130, WPA2, CCMP, PSK, -76,       68,        7,   0.  0.  0.  0,  10, Obra Cufre, 
82:AF:CA:2F:DA:CC, 2025-09-15 22:56:35, 2025-09-15 22:58:10,  3, 130, WPA2, CCMP, PSK, -69,      303,        6,   0.  0.  0.  0,   0, , 
C0:94:AD:3B:00:04, 2025-09-15 22:56:35, 2025-09-15 22:58:10,  1, 130, WPA2, CCMP TKIP, PSK, -75,      149,        0,   0.  0.  0.  0,   8, INDOOR3X, 
68:FF:7B:8B:F9:F6, 2025-09-15 22:56:35, 2025-09-15 22:58:10,  1, 405, WPA2 WPA, CCMP TKIP, PSK, -72,      138,        0,   0.  0.  0.  0,  17, ELEDesignuniverso, 
FC:40:09:C3:3A:C0, 2025-09-15 22:56:35, 2025-09-15 22:57:06,  1, 130, WPA2, CCMP, PSK, -80,        0,        0,   0.  0.  0.  0,   8, Apto 103, 
64:6E:60:B1:7D:D4, 2025-09-15 22:56:36, 2025-09-15 22:58:09,  2, 360, WPA2, CCMP, PSK, -78,      111,        6,   0.  0.  0.  0,  12, Golden House, 
A0:09:2E:5D:A5:50, 2025-09-15 22:56:36, 2025-09-15 22:58:09,  9, 360, WPA2, CCMP TKIP, PSK, -69,      157,        0,   0.  0.  0.  0,   8, -Angela-, 
E8:81:75:AE:B3:EC, 2025-09-15 22:56:36, 2025-09-15 22:58:10,  8, 360, WPA2, CCMP TKIP, PSK, -77,       49,        0,   0.  0.  0.  0,   5, Mateo, 
E4:CA:12:C0:DC:C2, 2025-09-15 22:56:37, 2025-09-15 22:58:08, 11, 130, WPA2 WPA, CCMP TKIP, PSK, -46,      259,        0,   0.  0.  0.  0,   6, CARLOS, 
66:CC:60:AB:77:47, 2025-09-15 22:56:37, 2025-09-15 22:58:08, 11, 180, WPA2, CCMP, PSK, -74,      230,      716,   0.  0.  0.  0,   5, CelJV, 
E8:81:75:AA:65:6C, 2025-09-15 22:56:37, 2025-09-15 22:58:08, 11, 360, WPA2, CCMP TKIP, PSK, -66,      180,        0,   0.  0.  0.  0,   8, EPdesign, 
08:F6:06:89:DB:B2, 2025-09-15 22:56:38, 2025-09-15 22:58:09,  8, 130, WPA2, CCMP TKIP, PSK, -81,       18,        0,   0.  0.  0.  0,  10, AMUZBALARI, 
A4:F3:3B:0F:D4:AE, 2025-09-15 22:56:38, 2025-09-15 22:58:10,  8, 360, WPA2, CCMP TKIP, PSK, -79,       21,        0,   0.  0.  0.  0,   9, Patajova1, 
E8:81:75:AD:D1:FC, 2025-09-15 22:56:38, 2025-09-15 22:58:10,  9, 360, WPA2, CCMP TKIP, PSK, -37,      148,       91,   0.  0.  0.  0,   9, garygonza, 
28:DE:A8:ED:C7:BC, 2025-09-15 22:56:39, 2025-09-15 22:56:39,  8, 130, WPA2, CCMP TKIP, PSK, -82,        0,        0,   0.  0.  0.  0,   8, laurajp7, 
A0:09:2E:A9:B7:0C, 2025-09-15 22:56:39, 2025-09-15 22:58:10,  1, 360, WPA2, CCMP TKIP, PSK, -75,       63,        0,   0.  0.  0.  0,   7, Cecilia, 
CC:29:BD:89:A4:AE, 2025-09-15 22:56:39, 2025-09-15 22:58:10,  3, 360, WPA2, CCMP, PSK, -78,       44,        0,   0.  0.  0.  0,   8, Dora 2.4, 
FA:8F:CA:93:B8:8A, 2025-09-15 22:56:39, 2025-09-15 22:57:40,  3,  65, OPN, ,   , -84,        5,        0,   0.  0.  0.  0,   0, , 
D8:A4:91:56:51:93, 2025-09-15 22:56:40, 2025-09-15 22:58:10,  9, 270, WPA2, CCMP, PSK, -78,       78,        0,   0.  0.  0.  0,   0, , 
D8:A4:91:56:51:90, 2025-09-15 22:56:40, 2025-09-15 22:58:01,  9, 270, WPA2, CCMP, PSK, -77,       33,        0,   0.  0.  0.  0,  15, HUAWEI_311_5190, 
D8:E8:44:5A:22:D5, 2025-09-15 22:56:41, 2025-09-15 22:57:51,  4, 360, WPA2, CCMP, PSK, -80,        4,        0,   0.  0.  0.  0,  15, RodriguezGrecco, 
E8:81:75:AA:8C:54, 2025-09-15 22:56:42, 2025-09-15 22:58:06, 10, 360, WPA2, CCMP TKIP, PSK, -78,       76,       21,   0.  0.  0.  0,   5, Mauge, 
E8:81:75:AE:DF:42, 2025-09-15 22:56:42, 2025-09-15 22:58:04, 11, 360, WPA2, CCMP TKIP, PSK, -79,       45,        0,   0.  0.  0.  0,   7, EPintos, 
92:32:4B:45:C2:D9, 2025-09-15 22:56:42, 2025-09-15 22:58:02, 11,  65, WPA2, CCMP, PSK, -79,        8,        0,   0.  0.  0.  0,  25, DIRECT-XNDCP-T510W_BRc2d9, 
5C:3A:3D:A7:96:6D, 2025-09-15 22:56:42, 2025-09-15 22:58:07,  5, 130, WPA2, CCMP, PSK, -74,       61,        0,   0.  0.  0.  0,   6, Alexis, 
A0:09:2E:A9:78:C6, 2025-09-15 22:56:43, 2025-09-15 22:58:04,  5, 360, WPA2, CCMP TKIP, PSK, -81,       35,        0,   0.  0.  0.  0,   9, Arerungua, 
A4:F3:3B:0C:E6:24, 2025-09-15 22:56:43, 2025-09-15 22:58:03,  5, 360, WPA2, CCMP TKIP, PSK, -84,        8,        0,   0.  0.  0.  0,   8, Gonzalo3, 
74:9E:75:63:18:42, 2025-09-15 22:56:44, 2025-09-15 22:57:44,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -82,        9,        0,   0.  0.  0.  0,   5, SUTEL, 
74:9E:75:63:18:43, 2025-09-15 22:56:44, 2025-09-15 22:57:44,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -82,       10,        0,   0.  0.  0.  0,  13, SUTEL_GREMIAL, 
CC:29:BD:A3:47:62, 2025-09-15 22:56:44, 2025-09-15 22:58:05,  6, 360, WPA2, CCMP TKIP, PSK, -80,       48,        2,   0.  0.  0.  0,   5, SONIA, 
CC:29:BD:57:85:40, 2025-09-15 22:56:44, 2025-09-15 22:58:05,  6, 360, WPA2, CCMP, PSK, -71,       28,        0,   0.  0.  0.  0,   8, Apto 105, 
